trial,problem,random_avg_coverage,random_failures,random_n_tests,ga_avg_coverage,ga_failures,ga_n_tests
1,search_rotated,36.11428571428573,25,250,45.08571428571427,85,250
2,search_rotated,35.8714285714286,31,250,45.928571428571416,70,250
3,search_rotated,37.01428571428573,25,250,44.0142857142857,121,250
4,search_rotated,35.87142857142859,27,250,42.785714285714285,92,250
5,search_rotated,36.328571428571436,27,250,42.614285714285714,87,250
