trial,problem,random_avg_coverage,random_failures,random_n_tests,ga_avg_coverage,ga_failures,ga_n_tests
1,maximal_rectangle,31.22523620847304,89,250,47.52941176470586,241,250
2,maximal_rectangle,33.96393733372743,85,250,48.11764705882352,245,250
3,maximal_rectangle,33.17647058823529,80,250,47.988235294117636,233,250
4,maximal_rectangle,32.4579831932773,91,250,47.88235294117645,245,250
5,maximal_rectangle,33.83139351997479,89,250,49.11764705882353,243,250
