trial,problem,random_avg_coverage,random_failures,random_n_tests,ga_avg_coverage,ga_failures,ga_n_tests
1,edit_distance,48.40000000000007,153,250,52.52307692307691,246,250
2,edit_distance,47.84615384615388,144,250,52.67692307692306,246,250
3,edit_distance,48.36923076923084,149,250,52.75384615384613,247,250
4,edit_distance,48.06153846153849,151,250,52.95384615384613,247,250
5,edit_distance,48.73846153846163,148,250,52.615384615384606,243,250
