trial,problem,random_avg_coverage,random_failures,random_n_tests,ga_avg_coverage,ga_failures,ga_n_tests
1,search_rotated,36.21428571428573,15,250,47.714285714285715,0,250
2,search_rotated,36.18571428571431,19,250,47.714285714285715,2,250
3,search_rotated,36.0857142857143,18,250,46.4285714285714,34,250
4,search_rotated,35.70000000000004,23,250,49.28571428571428,24,250
5,search_rotated,36.128571428571426,28,250,48.71428571428571,30,250
