trial,problem,random_avg_coverage,random_failures,random_n_tests,ga_avg_coverage,ga_failures,ga_n_tests
1,reverse_pairs,46.6461538461538,80,250,51.92307692307696,41,250
2,reverse_pairs,46.24615384615382,77,250,51.92307692307696,40,250
3,reverse_pairs,45.90769230769226,74,250,51.92307692307696,39,250
4,reverse_pairs,45.746153846153845,65,250,51.92307692307696,38,250
5,reverse_pairs,46.1538461538461,79,250,51.92307692307696,38,250
