trial,problem,random_avg_coverage,random_failures,random_n_tests,ga_avg_coverage,ga_failures,ga_n_tests
1,edit_distance,47.69230769230769,3,10,53.692307692307665,43,500
2,edit_distance,50.0,8,10,53.46153846153844,44,500
3,edit_distance,46.92307692307692,5,10,53.46153846153844,46,500
4,edit_distance,50.769230769230774,8,10,53.53846153846152,49,500
5,edit_distance,49.23076923076923,7,10,53.15384615384613,44,500
